2025-08-04 15:49:27 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-08-04 15:49:31 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-08-04 15:49:32 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-08-04 15:49:37 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-08-04 15:49:45 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: calculo_final.py
2025-08-04 15:54:04 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-08-04 15:54:09 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-08-04 15:54:20 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\Alavancagem\somar_12m.py
2025-08-04 15:54:26 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-08-04 15:54:31 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-08-04 15:54:34 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-08-04 15:54:39 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-08-04 15:54:44 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: calculo_final.py
2025-08-04 15:58:50 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-08-04 15:58:55 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-08-04 15:59:15 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\Alavancagem\somar_12m.py
2025-08-04 15:59:21 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-08-04 15:59:27 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-08-04 15:59:36 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-08-04 15:59:40 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-08-04 15:59:45 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: calculo_final.py
2025-08-04 16:02:34 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-08-04 16:02:41 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
